"Word","Length","Freq_HAL","Log_Freq_HAL"
"ad","2","43254","10.67"
"ye","2","7263","8.89"
"we","2","1245247","14.03"
"us","2","481870","13.09"
"up","2","931275","13.74"
"to","2","12661276","16.35"
"so","2","1261201","14.05"
"pi","2","5980","8.70"
"ow","2","1862","7.53"
"ox","2","1190","7.08"
"Oz","2","9081","9.11"
"pa","2","31547","10.36"
"of","2","11003606","16.21"
"oh","2","113530","11.64"
"ok","2","97012","11.48"
"on","2","3536061","15.08"
"or","2","2616965","14.78"
"no","2","1157549","13.96"
"mu","2","10173","9.23"
"my","2","1768938","14.39"
"me","2","1303959","14.08"
"ma","2","53321","10.88"
"lo","2","29900","10.31"
"is","2","6474135","15.68"
"it","2","4709218","15.37"
"Jo","2","6909","8.84"
"Io","2","4921","8.50"
"in","2","8015301","15.90"
"Id","2","81870","11.31"
"if","2","2311232","14.65"
"hi","2","85982","11.36"
"he","2","1178718","13.98"
"go","2","409671","12.92"
"eh","2","13746","9.53"
"do","2","1360645","14.12"
"by","2","1790440","14.40"
"be","2","3095437","14.95"
"ax","2","3139","8.05"
"as","2","2642511","14.79"
"at","2","1977887","14.50"
"an","2","1578013","14.27"
"ah","2","22390","10.02"
"Al","2","70783","11.17"
"am","2","547593","13.21"

