"Word","Length","Freq_KF","Freq_HAL","BG_Freq_By_Pos"
"abdicate","8","NULL","118","2032"
"aberrant","8","5","166","1789"
"abeyance","8","3","36","922"
"abhorred","8","1","87","1914"
"abnormal","8","3","2204","1374"
"abortion","8","6","16764","1878"
"abortive","8","3","213","1412"
"abounded","8","2","78","1688"
"abrasion","8","1","250","1572"
"abrasive","8","NULL","576","1106"
"abridged","8","1","797","1669"
"abrogate","8","NULL","100","1680"
"abruptly","8","18","1230","566"
"abscissa","8","1","18","1253"
"absences","8","3","143","1933"
"absented","8","1","4","2613"
"absentee","8","1","152","1903"
"absently","8","6","190","1597"
"absolute","8","30","16840","1202"
"absorbed","8","24","2954","1711"
"absorber","8","1","143","1451"
"abstract","8","34","8606","2071"
"abstruse","8","NULL","157","1695"
"absurdly","8","1","316","872"
"abundant","8","9","1381","1410"
"abutment","8","NULL","19","1227"
"academic","8","56","17622","1565"
"Acapulco","8","1","180","717"
"accented","8","3","1182","2675"
"accolade","8","2","703","1348"
"accepted","8","96","33901","2017"
"accesses","8","1","2369","2044"
"accident","8","33","11152","1625"
"acclaims","8","1","7","954"
"acoustic","8","1","5401","2059"
"accorded","8","4","563","2248"
"accosted","8","2","168","2482"
"accounts","8","38","18019","1405"
"accredit","8","NULL","35","2206"
"accruing","8","7","155","2413"
"achieved","8","62","8305","1534"
"accuracy","8","36","10534","1337"
"accurate","8","35","21492","2258"
"accusing","8","8","2296","2637"
"accustom","8","NULL","75","1374"
"achieves","8","5","762","1342"
"Achilles","8","1","688","1821"
"acquaint","8","3","167","1806"
"acquired","8","26","6388","1663"
"acquires","8","2","460","1471"
"acrimony","8","NULL","89","1203"
"acrobats","8","1","66","1437"
"activate","8","2","3486","1893"
"actively","8","12","7101","1154"
"activism","8","2","1558","1120"
"activist","8","NULL","3525","1348"
"activity","8","116","26484","1240"
"actually","8","166","196457","993"
"zucchini","8","NULL","314","1740"
"wondered","8","58","9133","4604"
"wondrous","8","1","573","2194"
"woodbine","8","NULL","64","2043"
"woodcock","8","1","511","887"
"woodland","8","2","926","1559"
"woodpile","8","NULL","27","1262"
"woodshed","8","1","63","1945"
"woodsman","8","NULL","93","1421"
"Woodward","8","3","1373","1140"
"woodwind","8","2","281","1861"
"woodwork","8","5","464","1015"
"woodworm","8","NULL","15","1022"
"woodyard","8","1","6","1083"
"wordless","8","NULL","110","2832"
"wordplay","8","NULL","119","1394"
